Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
38973;2.279166666666667;48.846944444444446;"48°50'49.000""N 2°16'45.000""E";75115;"";"39-43, QUAI ANDRÉ CITROËN TOUR MIRABEAU";75015;PARIS 15E ARRONDISSEMENT;Immeuble;60.4;Société Privée
39047;2.3825;48.852222222222224;"48°51'8.000""N 2°22'57.000""E";75111;"";"6, RUE DE CHANZY";75011;PARIS 11E ARRONDISSEMENT;Immeuble;38.0;Société HLM
39087;2.3202777777777777;48.840833333333336;"48°50'27.000""N 2°19'13.000""E";75114;"";"4, R PAUL RAOUL DAUTRY";75014;PARIS 14E ARRONDISSEMENT;Bâtiment;15.0;SNCF Réseau
39207;2.330277777777778;48.84722222222222;"48°50'50.000""N 2°19'49.000""E";75106;"";"35, R D'ASSAS";75006;PARIS 6E ARRONDISSEMENT;Immeuble;31.0;Société Privée
39475;2.269722222222222;48.849444444444444;"48°50'58.000""N 2°16'11.000""E";75116;"";13 AV BOUDON;75116;PARIS 16E ARRONDISSEMENT;Immeuble;37.4;"Copropriété, Syndic, SCI"
40021;2.6080555555555556;48.77722222222222;"48°46'38.000""N 2°36'29.000""E";77373;"";R DE MONTHERY CCAL CARREFOUR;77340;PONTAULT COMBAULT;Bâtiment;11.0;"Copropriété, Syndic, SCI"
40209;2.1463888888888887;48.791666666666664;"48°47'30.000""N 2°8'47.000""E";78646;PORCHEFONTAINE;"3 , R DU PONT COLBERT";78000;VERSAILLES;Immeuble;27.0;"Copropriété, Syndic, SCI"
40467;2.196388888888889;48.78111111111111;"48°46'52.000""N 2°11'47.000""E";78640;"";24 PL LOUVOIS;78140;VELIZY VILLACOUBLAY;Immeuble;34.0;Société Privée
42733;2.2180555555555554;48.755;"48°45'18.000""N 2°13'5.000""E";91064;"";"13, R DES ÉCOLES";91570;BIEVRES;Immeuble;18.5;Société HLM
42907;2.2375;48.89055555555556;"48°53'26.000""N 2°14'15.000""E";92062;LA DÉFENSE 7;C.CIAL LES 4 TEMPS (ESPACE EXPANSION) ESPLANADE DE LA PATINOIRE;92800;PUTEAUX;Immeuble;28.0;"Copropriété, Syndic, SCI"
42997;2.252222222222222;48.82055555555556;"48°49'14.000""N 2°15'8.000""E";92040;"";ALLÉE SAINTE LUCIE CCAL LES 3 MOULINS;92130;ISSY LES MOULINEAUX;Bâtiment;10.0;Société Privée
43561;2.5369444444444444;48.86416666666667;"48°51'51.000""N 2°32'13.000""E";93050;"";1 R DUGAY TROUIN LES FAUCHERETS;93330;NEUILLY SUR MARNE;Immeuble;25.5;Société HLM
43669;2.5719444444444446;48.96;"48°57'36.000""N 2°34'19.000""E";93073;"";69 R HENRI BARBUSSE RÉSIDENCE BARBUSSE;93290;TREMBLAY EN FRANCE;Immeuble;17.5;"Copropriété, Syndic, SCI"
43731;2.323888888888889;48.76583333333333;"48°45'57.000""N 2°19'26.000""E";94034;"";"1, ALLÉE DU CAPITAINE DUPONT";94260;FRESNES;Immeuble;46.0;"Copropriété, Syndic, SCI"
43755;2.4930555555555554;48.84166666666667;"48°50'30.000""N 2°29'35.000""E";94058;"";TUNNEL DE NOGENT A86;94170;PERREUX SUR MARNE;Tunnel;6.0;"Ets public , Minist, Synd mixt"
43785;2.5036111111111112;48.81527777777778;"48°48'55.000""N 2°30'13.000""E";94017;"";"2, R EUGÈNE BRUN";94500;CHAMPIGNY SUR MARNE;Immeuble;28.0;Société HLM
46722;1.7722222222222221;48.970555555555556;"48°58'14.000""N 1°46'20.000""E";78501;"";"63, 65 R DE LA GRANDE REMISE DES VOYERS";78440;PORCHEVILLE;Pylône autostable;62.0;EDF ou GDF
47454;2.2494444444444444;48.87583333333333;"48°52'33.000""N 2°14'58.000""E";92051;"";9B  BD RICHARD WALLACE 6 BD JULIEN POTIN;92200;NEUILLY SUR SEINE;Bâtiment;34.0;Société Privée
51188;2.3216666666666668;48.89;"48°53'24.000""N 2°19'18.000""E";75117;"";1 R LACROIX;75017;PARIS 17E ARRONDISSEMENT;Immeuble;28.0;"Copropriété, Syndic, SCI"
54947;2.2511111111111113;48.888333333333335;"48°53'18.000""N 2°15'4.000""E";92026;"PASSERELLE DE L'AIGLE";BD  DE NEUILLY;92400;COURBEVOIE;"Ouvrage d'art (pont, viaduc)";8.0;"Ets public , Minist, Synd mixt"
54949;2.250277777777778;48.8875;"48°53'15.000""N 2°15'1.000""E";92062;TUNNEL AU PIED DE ATHENA;LA DÉFENSE BD CIRCULAIRE PIERRE GAUDIN;92800;PUTEAUX;"Ouvrage d'art (pont, viaduc)";10.0;"Ets public , Minist, Synd mixt"
57935;2.3905555555555553;48.881388888888885;"48°52'53.000""N 2°23'26.000""E";75119;"";23 R MICHEL HIDALGO;75019;PARIS 19E ARRONDISSEMENT;Immeuble;18.4;Particulier
71669;3.411388888888889;48.90888888888889;"48°54'32.000""N 3°24'41.000""E";02798;LES DODIERS;"CHÂTEAU D'EAU LES DODIERS";02540;VIELS MAISONS;"Château d'eau - réservoir";31.0;"Commune, communauté de commune"
84680;2.415277777777778;48.84583333333333;"48°50'45.000""N 2°24'55.000""E";75112;"";7 R ELIE FAURE;75012;PARIS 12E ARRONDISSEMENT;Immeuble;41.0;"Commune, communauté de commune"
